class order,adjacency matrix order,,,PHAL,PHAR,PHBL,PHBR,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,,LUAL,LUAR,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,,PVY,PVX,PVV,PDA,PDB,PDC,PVZ,CP01,CP02,CP03,CP04,CP05,CP06,,DX1,DX2,DX3,DVB,DVC,DVE,DVF,,EF1,EF2,EF3,AVG,AVL,PVS,PVU,PVT,,AN3a,AN3b,PVNL,PVNR,,CA07,CA08,CA09,PGA,,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,sum CI's,,DA04,DA05,DA06,DA07,DA08,DA09,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,AS11,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13,sum gs bwmn's,,dBWML21,dBWMR21,dBWML22,dBWMR22,dBWML23,dBWMR23,dBWML24,dBWMR24,vBWML17,vBWMR18,vBWML19,vBWMR19,vBWML20,vBWMR20,vBWML21,vBWMR21,vBWML22,vBWMR22,vBWML23,vBWMR23,vBWMR24,sum gs bwm,,cdlL,cdlR,polL,polR,dglR8,dglL7,dglR7,dglL6,dglR6,dglL5,dglR5,dglL4,dglR4,dglL3,dglR3,dglL2,dglR2,dglL1,dglR1,gecL,gecR,grtL,grtR,aobL,aobR,pobL,pobR,adp,dspL,dspR,dsrL,dsrR,vspL,vspR,vsrL,vsrR,ailL,ailR,pilL,pilR,intL,intR,sph,sum ms muscles,whole motor system sum,gonad,hyp
8,10,R1BR,E,,2,,,,2,,39,,20,,3,,,,5,,3,,,,,,24,,3,10,72,,,2,13,,,,,,7,6,2,,,,12,,,,,,,,,,,,,,,,1,,,,,,,16,2,17,,2,10,,,,,,,,,,,,,,1,,,,21,29,14,,6,,,,59,2,9,13,,,,,,,1,5,,,,1,,20,27,,,,,,,30,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,13,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,,5
9,11,R2AL,D,,,,,2,,,,4,81,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,1,14,4,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,4,2,,,,,6,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,2,,,30,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,3
10,12,R2AR,D,,,,,,9,,,62,25,,,,,,,,15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,
11,13,R2BL,R,,,,,2,,2,,,,36,2,17,,,,18,,17,10,,,,,30,,2,,2,,38,,29,2,7,15,5,,,2,,,,,4,,,,10,,3,,,,,99,1,,3,,,,,,,,27,8,,,,,,5,3,23,,,,,,,,,,,2,,10,,33,,,,,,,,,8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1
12,14,R2BR,R,,,,,,,,,,,,17,,12,,,,6,7,1,,,,,,10,,,15,20,1,19,6,19,,17,,,,,5,12,2,12,,33,,,,5,,5,,,,,86,,,,,,39,2,,,41,,,,9,,28,,,,26,,,,,,,,,,,,9,,3,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
13,15,R3AL,D,,,,,39,,,,2,,,,,42,,,4,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,1,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,55,,
14,16,R3AR,D,,,,,28,,,,,,,,39,,,,7,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,39,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,44,,
15,17,R3BL,E,,,,,10,,,5,,,,,9,,,,4,,1,,3,,2,,1,,29,5,,,,8,,,,,,3,,10,,10,,,,2,,,,,,,,,,,,9,,,,,,,,,,,25,,8,,,,,,,,,,,28,,,,,,,60,23,65,,,,,,,2,9,4,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,2
16,18,R3BR,R,12,,10,4,,2,,,,,,,,12,2,1,,,,,,1,,7,,,,,,,,,,,6,1,16,2,,,,,2,,3,,,,,,,,,,,15,10,13,2,3,,,,,,,14,39,9,,,,2,,,,1,,,,,,13,,,,,,,22,98,3,,,,,,,4,38,,,,,,4,,14,,,,,,,,14,,,,,,,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,
17,19,R4AL,D,,,,,5,,1,,12,,1,,1,2,,3,23,80,,,11,15,,,27,5,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8,,,,,,,8,,6,,14,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,35,,28
18,20,R4AR,D,,,,,,19,,1,,2,,,6,1,,,91,21,,,,13,,2,,26,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,21,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,2,,,,3,,,1,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,,8
19,21,R4BL,R,,,,,3,,,,,,1,5,17,,,,6,,,1,,,2,,,,1,,,1,4,2,6,,10,7,,,3,,,,,,,,,,,,,,,,,19,20,,,,,,,,,,14,,,,6,,,,4,4,,,,,,,,,,,,,18,2,5,,,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
